workload,bound,pair_idx,size,scale,pue,wue,annual_power_mwh,annual_water_mgal,electricity_cost_musd,water_cost_musd,opex_musd,capex_usd
training,efficient,0,large,1.0,1.1,0.07,569331.9448262197,9.57205143216894,26.04124315635129,0.0957205143216894,31.13696367067298,406250000.0
training,efficient,1,large,1.0,1.08,1.73,558980.4549202884,236.56641396646089,25.567766008053997,2.365664139664609,32.9334301477186,406250000.0
training,efficient,2,midsize,0.2,1.38,1.05,142850.56070185147,28.71615429650682,6.533984646502685,0.2871615429650682,11.821146189467754,406250000.0
training,efficient,3,midsize,0.2,1.27,1.99,131463.92180532712,54.42394957147483,6.013159783375663,0.5442394957147483,11.557399279090411,406250000.0
training,inefficient,0,large,1.0,1.2,0.52,621089.394355876,71.1066677818264,28.40862889783777,0.7110666778182642,34.11969557565603,406250000.0
training,inefficient,1,large,1.0,1.19,2.6,615913.6494029104,355.533338909132,28.171890323689123,3.55533338909132,36.72722371278044,406250000.0
training,inefficient,2,midsize,0.2,1.65,2.12,170799.5834478659,57.979282960566145,7.812372946905387,0.5797928296056615,13.39216577651105,406250000.0
training,inefficient,3,midsize,0.2,1.5,2.98,155272.34858896903,81.4991807653241,7.102157224459443,0.814991807653241,12.917149032112684,406250000.0
inference,efficient,0,large,1.0,1.1,0.07,639144.1578012866,10.745788650435943,29.23445377783085,0.10745788650435943,34.34191166433521,406250000.0
inference,efficient,1,large,1.0,1.08,1.73,627523.3549321722,265.5744909322026,28.702918254597556,2.6557449093220256,36.35866316391958,406250000.0
inference,efficient,2,midsize,0.2,1.38,1.05,160367.0795937773,32.23736595130784,7.335190220619374,0.32237365951307834,12.657563880132452,406250000.0
inference,efficient,3,midsize,0.2,1.27,1.99,147584.19643775158,61.09748404105007,6.750501145062759,0.6109748404105008,12.36147598547326,406250000.0
inference,inefficient,0,large,1.0,1.2,0.52,697248.172146858,79.82585854609557,31.892131393997285,0.7982585854609558,37.690389979458246,406250000.0
inference,inefficient,1,large,1.0,1.19,2.6,691437.7707123007,399.1292927304779,31.626363632380635,3.9912929273047792,40.617656559685415,406250000.0
inference,inefficient,2,midsize,0.2,1.65,2.12,191743.24734038595,65.08877696835486,8.770336133349252,0.6508877696835487,14.421223903032802,406250000.0
inference,inefficient,3,midsize,0.2,1.5,2.98,174312.0430367145,91.49271479514033,7.973032848499321,0.9149271479514033,13.887959996450723,406250000.0
