PUE,WUE,Climate Zone,Case,Quantile
1.17,0.77,1A,1,5th
1.17,0.80,2A,1,5th
1.13,0.47,2B,1,5th
1.13,0.41,3A,1,5th
1.11,0.26,3B,1,5th
1.09,0.00,3C,1,5th
1.11,0.27,4A,1,5th
1.10,0.05,4B,1,5th
1.09,0.00,4C,1,5th
1.10,0.20,5A,1,5th
1.09,0.04,5B,1,5th
1.10,0.15,6A,1,5th
1.08,0.01,6B,1,5th
1.10,0.07,7,1,5th
1.08,0.04,8,1,5th
1.11,1.76,1A,2,5th
1.10,1.75,2A,2,5th
1.08,1.75,2B,2,5th
1.09,1.75,3A,2,5th
1.08,1.74,3B,2,5th
1.07,1.75,3C,2,5th
1.08,1.74,4A,2,5th
1.08,1.74,4B,2,5th
1.07,1.74,4C,2,5th
1.08,1.74,5A,2,5th
1.08,1.74,5B,2,5th
1.08,1.73,6A,2,5th
1.08,1.73,6B,2,5th
1.08,1.73,7,2,5th
1.07,1.72,8,2,5th
1.47,1.60,1A,3,5th
1.44,1.53,2A,3,5th
1.39,1.01,2B,3,5th
1.40,1.08,3A,3,5th
1.39,0.95,3B,3,5th
1.31,0.08,3C,3,5th
1.38,0.97,4A,3,5th
1.38,0.58,4B,3,5th
1.30,0.09,4C,3,5th
1.37,0.87,5A,3,5th
1.38,0.76,5B,3,5th
1.37,1.06,6A,3,5th
1.34,0.40,6B,3,5th
1.38,1.05,7,3,5th
1.38,1.21,8,3,5th
1.30,2.03,1A,4,5th
1.29,2.02,2A,4,5th
1.27,2.01,2B,4,5th
1.27,2.01,3A,4,5th
1.27,2.01,3B,4,5th
1.26,2.01,3C,4,5th
1.27,2.01,4A,4,5th
1.29,2.00,4B,4,5th
1.27,2.00,4C,4,5th
1.27,2.00,5A,4,5th
1.29,2.00,5B,4,5th
1.27,2.00,6A,4,5th
1.28,1.99,6B,4,5th
1.27,1.99,7,4,5th
1.27,1.98,8,4,5th
1.50,2.51,1A,5,5th
1.49,2.48,2A,5,5th
1.48,2.44,2B,5,5th
1.48,2.44,3A,5,5th
1.48,2.42,3B,5,5th
1.47,2.42,3C,5,5th
1.47,2.42,4A,5,5th
1.48,2.40,4B,5,5th
1.47,2.41,4C,5,5th
1.47,2.41,5A,5,5th
1.48,2.39,5B,5,5th
1.46,2.39,6A,5,5th
1.47,2.37,6B,5,5th
1.46,2.37,7,5,5th
1.45,2.34,8,5,5th
1.62,0.019,1A,6,5th
1.58,0.016,2A,6,5th
1.59,0.012,2B,6,5th
1.47,0.013,3A,6,5th
1.54,0.012,3B,6,5th
1.32,0.002,3C,6,5th
1.43,0.013,4A,6,5th
1.43,0.008,4B,6,5th
1.31,0.002,4C,6,5th
1.40,0.012,5A,6,5th
1.41,0.010,5B,6,5th
1.38,0.013,6A,6,5th
1.34,0.005,6B,6,5th
1.38,0.014,7,6,5th
1.35,0.015,8,6,5th
1.73,0.02,1A,7,5th
1.65,0.02,2A,7,5th
1.75,0.02,2B,7,5th
1.59,0.02,3A,7,5th
1.66,0.02,3B,7,5th
1.51,0.02,3C,7,5th
1.54,0.02,4A,7,5th
1.56,0.02,4B,7,5th
1.49,0.02,4C,7,5th
1.51,0.02,5A,7,5th
1.53,0.02,5B,7,5th
